level_code,level1_topic,level2_topic,topic_item
HSK2,基本信息,个人信息,外貌、穿着、生日等
HSK2,基本信息,个人信息,身份、习惯、爱好、来处等
HSK2,基本信息,事件信息,事件、人物、时间、方式、地址、原因、变化、状态等
HSK2,基本信息,物品信息,名称、颜色、差别、数量、所在、特点等
HSK2,基本信息,环境信息,天气
HSK2,基本信息,环境信息,环境特征
HSK2,教育情况,学习情况,基本情况
HSK2,教育情况,学习情况,学习经历
HSK2,教育情况,校园生活,学校情况
HSK2,教育情况,校园生活,课后活动
HSK2,文化与传统,传统习俗,节日
HSK2,文化与传统,姓氏文化,主要姓氏、正式称谓等
HSK2,文化与传统,饮食文化,中餐印象
HSK2,日常生活,交往,基本礼貌行为
HSK2,日常生活,交往,意愿感受
HSK2,日常生活,交往,简单互动行为
HSK2,日常生活,交通出行,出行安排
HSK2,日常生活,交通出行,出行感受
HSK2,日常生活,交通出行,出行方式
HSK2,日常生活,交通出行,问路
HSK2,日常生活,休闲,休闲安排
HSK2,日常生活,休闲,休闲活动
HSK2,日常生活,医疗健康,就医
HSK2,日常生活,医疗健康,生病
HSK2,日常生活,家庭生活,家庭关系
HSK2,日常生活,家庭生活,家庭活动
HSK2,日常生活,购物,商品描述
HSK2,日常生活,购物,商品选购
HSK2,日常生活,饮食,就餐
HSK2,日常生活,饮食,食物饮品
HSK2,日常生活,饮食,饮食习惯
HSK2,职场生活,工作情况,工作信息
HSK2,职场生活,工作情况,工作经历、工作感受
HSK2,职场生活,职业,职业状况
