level_code,hanzi_type,hanzi_type_name,character
HSK3,1,认读,且
HSK3,1,认读,世
HSK3,1,认读,业
HSK3,1,认读,丢
HSK3,1,认读,主
HSK3,1,认读,久
HSK3,1,认读,乎
HSK3,1,认读,于
HSK3,1,认读,伞
HSK3,1,认读,信
HSK3,1,认读,借
HSK3,1,认读,假
HSK3,1,认读,健
HSK3,1,认读,像
HSK3,1,认读,全
HSK3,1,认读,共
HSK3,1,认读,其
HSK3,1,认读,典
HSK3,1,认读,养
HSK3,1,认读,冒
HSK3,1,认读,冬
HSK3,1,认读,冰
HSK3,1,认读,决
HSK3,1,认读,净
HSK3,1,认读,凉
HSK3,1,认读,凌
HSK3,1,认读,刚
HSK3,1,认读,初
HSK3,1,认读,刮
HSK3,1,认读,刷
HSK3,1,认读,刻
HSK3,1,认读,力
HSK3,1,认读,办
HSK3,1,认读,加
HSK3,1,认读,务
HSK3,1,认读,助
HSK3,1,认读,努
HSK3,1,认读,勺
HSK3,1,认读,化
HSK3,1,认读,北
HSK3,1,认读,区
HSK3,1,认读,单
HSK3,1,认读,南
HSK3,1,认读,卡
HSK3,1,认读,卫
HSK3,1,认读,历
HSK3,1,认读,参
HSK3,1,认读,又
HSK3,1,认读,双
HSK3,1,认读,发
HSK3,1,认读,叔
HSK3,1,认读,受
HSK3,1,认读,变
HSK3,1,认读,句
HSK3,1,认读,史
HSK3,1,认读,合
HSK3,1,认读,向
HSK3,1,认读,员
HSK3,1,认读,咱
HSK3,1,认读,响
HSK3,1,认读,哭
HSK3,1,认读,啤
HSK3,1,认读,嘴
HSK3,1,认读,园
HSK3,1,认读,图
HSK3,1,认读,坚
HSK3,1,认读,城
HSK3,1,认读,境
HSK3,1,认读,声
HSK3,1,认读,处
HSK3,1,认读,复
HSK3,1,认读,夏
HSK3,1,认读,奇
HSK3,1,认读,如
HSK3,1,认读,姨
HSK3,1,认读,婚
HSK3,1,认读,季
HSK3,1,认读,安
HSK3,1,认读,定
HSK3,1,认读,实
HSK3,1,认读,害
HSK3,1,认读,容
HSK3,1,认读,宾
HSK3,1,认读,封
HSK3,1,认读,尝
HSK3,1,认读,层
HSK3,1,认读,居
HSK3,1,认读,屋
HSK3,1,认读,展
HSK3,1,认读,山
HSK3,1,认读,差
HSK3,1,认读,带
HSK3,1,认读,干
HSK3,1,认读,平
HSK3,1,认读,应
HSK3,1,认读,康
HSK3,1,认读,张
HSK3,1,认读,当
HSK3,1,认读,心
HSK3,1,认读,必
HSK3,1,认读,怕
HSK3,1,认读,急
HSK3,1,认读,怪
HSK3,1,认读,总
HSK3,1,认读,惯
HSK3,1,认读,感
HSK3,1,认读,愿
HSK3,1,认读,戏
HSK3,1,认读,成
HSK3,1,认读,或
HSK3,1,认读,才
HSK3,1,认读,扫
HSK3,1,认读,把
HSK3,1,认读,护
HSK3,1,认读,报
HSK3,1,认读,担
HSK3,1,认读,拍
HSK3,1,认读,择
HSK3,1,认读,持
HSK3,1,认读,挺
HSK3,1,认读,换
HSK3,1,认读,据
HSK3,1,认读,接
HSK3,1,认读,提
HSK3,1,认读,搬
HSK3,1,认读,收
HSK3,1,认读,放
HSK3,1,认读,故
HSK3,1,认读,数
HSK3,1,认读,料
HSK3,1,认读,斤
HSK3,1,认读,方
HSK3,1,认读,旧
HSK3,1,认读,易
HSK3,1,认读,春
HSK3,1,认读,更
HSK3,1,认读,末
HSK3,1,认读,朵
HSK3,1,认读,李
HSK3,1,认读,束
HSK3,1,认读,板
HSK3,1,认读,极
HSK3,1,认读,查
HSK3,1,认读,树
HSK3,1,认读,根
HSK3,1,认读,梯
HSK3,1,认读,检
HSK3,1,认读,楚
HSK3,1,认读,概
HSK3,1,认读,段
HSK3,1,认读,毛
HSK3,1,认读,求
HSK3,1,认读,汽
HSK3,1,认读,沙
HSK3,1,认读,河
HSK3,1,认读,泉
HSK3,1,认读,法
HSK3,1,认读,注
HSK3,1,认读,活
HSK3,1,认读,海
HSK3,1,认读,清
HSK3,1,认读,渴
HSK3,1,认读,满
HSK3,1,认读,演
HSK3,1,认读,澡
HSK3,1,认读,激
HSK3,1,认读,灯
HSK3,1,认读,炼
HSK3,1,认读,烧
HSK3,1,认读,照
HSK3,1,认读,熊
HSK3,1,认读,爬
HSK3,1,认读,片
HSK3,1,认读,牙
HSK3,1,认读,物
HSK3,1,认读,特
HSK3,1,认读,环
HSK3,1,认读,理
HSK3,1,认读,瓜
HSK3,1,认读,瓶
HSK3,1,认读,甜
HSK3,1,认读,用
HSK3,1,认读,界
HSK3,1,认读,瘦
HSK3,1,认读,盘
HSK3,1,认读,目
HSK3,1,认读,直
HSK3,1,认读,相
HSK3,1,认读,短
HSK3,1,认读,矮
HSK3,1,认读,矿
HSK3,1,认读,码
HSK3,1,认读,碗
HSK3,1,认读,礼
HSK3,1,认读,秋
HSK3,1,认读,种
HSK3,1,认读,空
HSK3,1,认读,突
HSK3,1,认读,答
HSK3,1,认读,筷
HSK3,1,认读,简
HSK3,1,认读,算
HSK3,1,认读,箱
