level_code,tree_kind,depth,parent_content,content,sort_order
HSK3,task,1,,介绍个人情况,1
HSK3,task,1,,交流、处理日常事务,2
HSK3,task,1,,日常交往,3
HSK3,task,1,,交流饮食情况,4
HSK3,task,1,,谈论交通出行,5
HSK3,task,1,,交流购物信息,6
HSK3,task,1,,谈论就医探病、健康观念,7
HSK3,task,1,,谈论休闲生活,8
HSK3,task,1,,谈论居住情况,9
HSK3,task,1,,谈论生活习惯、家庭关系和家庭事务,10
HSK3,task,1,,沟通学习情况,11
HSK3,task,1,,交流校园生活,12
HSK3,task,1,,谈论家庭教育,13
HSK3,task,1,,交流日常办公情况,14
HSK3,task,1,,谈论职业,15
HSK3,task,1,,谈论自然情况,16
HSK3,task,1,,介绍某个地方的环境和环保,17
HSK3,task,1,,交流社会生活的某个方面,18
HSK3,task,1,,交流文艺活动信息,19
HSK3,task,1,,介绍体育项目及比赛,20
HSK3,task,1,,介绍中国特色饮食及餐具,21
HSK3,task,1,,介绍中国传统风俗,22
HSK3,topic,1,,日常生活,1
HSK3,topic,1,,教育情况,2
HSK3,topic,1,,职场生活,3
HSK3,topic,1,,自然与环境,4
HSK3,topic,1,,当代社会,5
HSK3,topic,1,,文化与传统,6
HSK3,topic,2,日常生活,个人情况,1
HSK3,topic,2,教育情况,学习情况,1
HSK3,topic,2,职场生活,日常办公,1
HSK3,topic,2,当代社会,社会情况,1
HSK3,topic,2,自然与环境,自然,1
HSK3,topic,2,文化与传统,饮食文化,1
HSK3,topic,2,当代社会,文艺,2
HSK3,topic,2,日常生活,日常事务,2
HSK3,topic,2,教育情况,校园生活,2
HSK3,topic,2,自然与环境,环境,2
HSK3,topic,2,职场生活,职业与经历,2
HSK3,topic,2,文化与传统,风俗传统,2
HSK3,topic,2,日常生活,交往,3
HSK3,topic,2,当代社会,体育,3
HSK3,topic,2,教育情况,教育问题,3
HSK3,topic,2,日常生活,饮食,4
HSK3,topic,2,日常生活,交通出行,5
HSK3,topic,2,日常生活,购物,6
HSK3,topic,2,日常生活,医疗健康,7
HSK3,topic,2,日常生活,休闲,8
HSK3,topic,2,日常生活,社区,9
HSK3,topic,2,日常生活,家庭生活,10
HSK3,grammar,1,,语素,1
HSK3,grammar,1,,词类,2
HSK3,grammar,1,,短语,3
HSK3,grammar,1,,固定格式,4
HSK3,grammar,1,,句子成分,5
HSK3,grammar,1,,句子的类型,6
HSK3,grammar,1,,特殊表达法,7
HSK3,grammar,2,句子成分,主语,1
HSK3,grammar,2,语素,前缀,1
HSK3,grammar,2,句子的类型,句类,1
HSK3,grammar,2,词类,名词,1
HSK3,grammar,2,特殊表达法,数的表达法,1
HSK3,grammar,2,短语,结构类型,1
HSK3,grammar,2,词类,动词,2
HSK3,grammar,2,语素,后缀,2
HSK3,grammar,2,短语,固定短语,2
HSK3,grammar,2,句子成分,定语,2
HSK3,grammar,2,句子的类型,特殊句型,2
HSK3,grammar,2,词类,代词,3
HSK3,grammar,2,句子的类型,复句,3
HSK3,grammar,2,句子成分,补语,3
HSK3,grammar,2,词类,量词,4
HSK3,grammar,2,词类,副词,5
HSK3,grammar,2,词类,介词,6
HSK3,grammar,2,词类,连词,7
HSK3,grammar,2,词类,助词,8
HSK3,grammar,3,助词,其他助词,1
HSK3,grammar,3,结构类型,其他结构类型,1
HSK3,grammar,3,量词,名量词,1
HSK3,grammar,3,固定短语,四字格,1
HSK3,grammar,3,介词,引出对象,1
HSK3,grammar,3,复句,承接复句,1
HSK3,grammar,3,特殊句型,“把”字句1,1
HSK3,grammar,3,名词,方位名词,1
HSK3,grammar,3,代词,疑问代词,1
HSK3,grammar,3,句类,疑问句,1
HSK3,grammar,3,副词,程度副词,1
HSK3,grammar,3,补语,结果补语2,1
HSK3,grammar,3,动词,能愿动词,1
HSK3,grammar,3,连词,连接词或者短语,1
HSK3,grammar,3,代词,人称代词,2
HSK3,grammar,3,固定短语,其他,2
HSK3,grammar,3,量词,动量词,2
HSK3,grammar,3,句类,反问句1,2
HSK3,grammar,3,介词,引出方向、路径,2
HSK3,grammar,3,动词,离合词,2
HSK3,grammar,3,副词,范围副词,2
HSK3,grammar,3,特殊句型,被动句1,2
HSK3,grammar,3,补语,趋向补语2,2
HSK3,grammar,3,连词,连接分句或句子,2
HSK3,grammar,3,复句,选择复句,2
HSK3,grammar,3,补语,可能补语1,3
HSK3,grammar,3,复句,并列复句,3
HSK3,grammar,3,介词,引出目的、原因,3
HSK3,grammar,3,代词,指示代词,3
HSK3,grammar,3,副词,时间副词,3
HSK3,grammar,3,特殊句型,连动句2,3
HSK3,grammar,3,量词,量词重叠,3
HSK3,grammar,3,介词,引出施事、受事,4
HSK3,grammar,3,特殊句型,比较句2,4
HSK3,grammar,3,补语,程度补语1,4
HSK3,grammar,3,复句,递进复句,4
HSK3,grammar,3,副词,频率副词,4
HSK3,grammar,3,副词,关联副词,5
HSK3,grammar,3,特殊句型,存现句3,5
HSK3,grammar,3,介词,引出凭借、依据,5
HSK3,grammar,3,补语,数量补语3,5
HSK3,grammar,3,复句,转折复句,5
HSK3,grammar,3,复句,假设复句,6
HSK3,grammar,3,副词,情态副词,6
HSK3,grammar,3,特殊句型,“是……的”句2,6
HSK3,grammar,3,复句,条件复句,7
HSK3,grammar,3,副词,语气副词,7
HSK3,grammar,3,特殊句型,重动句,7
HSK3,grammar,3,副词,否定副词,8
HSK3,grammar,3,复句,目的复句,8
HSK3,grammar,3,复句,紧缩复句,9
