level_code,source_level_name,entry_type_name,sort_order,word,pinyin,part_of_speech
HSK5,二级（五级）,大纲词汇,304,班,bān,名、（量）
HSK5,二级（五级）,大纲词汇,310,笔,bǐ,名、（量）
HSK5,二级（五级）,大纲词汇,345,跟,gēn,介、连、（名、动）
HSK5,二级（五级）,大纲词汇,403,面1,miàn,后缀、（动、名、量）
HSK5,二级（五级）,大纲词汇,443,条,tiáo,量、（名）
HSK5,二级（三级）（五级）,大纲词汇,445,头,tóu,名、（量）、（形）
HSK5,二级（五级）,大纲词汇,491,正,zhèng,副、（形）
HSK5,三级（五级）,大纲词汇,534,冰,bīng,名、（动）
HSK5,三级（五级）,大纲词汇,578,带,dài,动、（名）
HSK5,三级（五级）,大纲词汇,593,电,diàn,名、（动）
HSK5,三级（五级）,大纲词汇,645,根据,gēnjù,动、介、（名）
HSK5,三级（五级）,大纲词汇,652,关,guān,动、（名）
HSK5,三级（五级）,大纲词汇,731,可,kě,连、（副）
HSK5,三级（五级）,大纲词汇,735,刻,kè,量、（动）
HSK5,三级（五级）,大纲词汇,768,毛,máo,量、（名）
HSK5,三级（五级）,大纲词汇,785,牛,niú,名、（形）
HSK5,三级（五级）,大纲词汇,801,起,qǐ,动、（量）
HSK5,三级（五级）,大纲词汇,993,总,zǒng,副、（动、形）
HSK5,四级（五级）,大纲词汇,1013,棒,bàng,形、（名）
HSK5,四级（五级）,大纲词汇,1047,不过,búguò,连、（副）
HSK5,四级（五级）,大纲词汇,1086,重,chóng,副、（动）
HSK5,四级（五级）,大纲词汇,1089,出口,chūkǒu,名、（动）
HSK5,四级（五级）,大纲词汇,1147,等2,děng,助、（名、量）
HSK5,四级（五级）,大纲词汇,1173,队,duì,名、（量）
HSK5,四级（五级）,大纲词汇,1220,干,gān,形、（名）
HSK5,四级（五级）,大纲词汇,1272,管,guǎn,动、（名、量）
HSK5,四级（五级）,大纲词汇,1359,奖,jiǎng,名、（动）
HSK5,四级（五级）,大纲词汇,1396,经济,jīngjì,名、（形）
HSK5,四级（五级）,大纲词汇,1407,究竟,jiūjìng,副、（名）
HSK5,四级（五级）,大纲词汇,1436,空,kōng,形、（副）
HSK5,四级（五级）,大纲词汇,1445,困,kùn,形、（动）
HSK5,四级（五级）,大纲词汇,1469,连,lián,介、（动、副）
HSK5,四级（五级）,大纲词汇,1642,深,shēn,形、（副）
HSK5,四级（五级）,大纲词汇,1703,死,sǐ,动、形、（副）
HSK5,四级（五级）,大纲词汇,1713,所有,suǒyǒu,形、（动、名）
HSK5,四级（五级）,大纲词汇,1714,台,tái,量、（名）
HSK5,四级（五级）,大纲词汇,1975,准,zhǔn,形、（副）
HSK5,四级（五级）,大纲词汇,1987,组,zǔ,名、（动、量）
HSK5,五级,大纲词汇,2001,哎,āi,叹
HSK5,五级,大纲词汇,2002,哎呀,āiyā,叹
HSK5,五级,大纲词汇,2003,唉,ài,叹
HSK5,五级,大纲词汇,2004,爱护,àihù,动
HSK5,五级,大纲词汇,2005,安,ān,形、动
HSK5,五级,大纲词汇,2006,安全带,ānquándài,名
HSK5,五级,大纲词汇,2007,安慰,ānwèi,动、形
HSK5,五级,大纲词汇,2008,安装,ānzhuāng,动
HSK5,五级,大纲词汇,2009,暗,àn,形
HSK5,五级,大纲词汇,2010,熬夜,áoyè,动
HSK5,五级,大纲词汇,2011,把握,bǎwò,动、名
HSK5,五级,大纲词汇,2012,白,bái,形、副
HSK5,五级,大纲词汇,2013,半夜,bànyè,数量、名
HSK5,五级,大纲词汇,2014,傍晚,bàngwǎn,名
HSK5,五级,大纲词汇,2015,包裹,bāoguǒ,动、名
HSK5,五级,大纲词汇,2016,包含,bāohán,动
HSK5,五级,大纲词汇,2017,包括,bāokuò,动
HSK5,五级,大纲词汇,2018,包装,bāozhuāng,动、名
HSK5,五级,大纲词汇,2019,薄,báo,形
HSK5,五级,大纲词汇,2020,宝,bǎo,名
HSK5,五级,大纲词汇,2021,保,bǎo,动、名
HSK5,五级,大纲词汇,2022,保安,bǎo’ān,动、名
HSK5,五级,大纲词汇,2023,宝贝,bǎobèi,名
HSK5,五级,大纲词汇,2024,保持,bǎochí,动
HSK5,五级,大纲词汇,2025,保存,bǎocún,动
HSK5,五级,大纲词汇,2026,宝贵,bǎoguì,形
HSK5,五级,大纲词汇,2027,保留,bǎoliú,动
HSK5,五级,大纲词汇,2028,保险,bǎoxiǎn,名、形
HSK5,五级,大纲词汇,2029,保质期,bǎozhìqī,名
HSK5,五级,大纲词汇,2030,报到,bàodào,动
HSK5,五级,大纲词汇,2031,报道,bàodào,动、名
HSK5,五级,大纲词汇,2032,报告,bàogào,动、名
HSK5,五级,大纲词汇,2033,报警,bàojǐng,动
HSK5,五级,大纲词汇,2034,暴雨,bàoyǔ,名
HSK5,五级,大纲词汇,2035,抱怨,bàoyuàn,动
HSK5,五级,大纲词汇,2036,背,bèi,名、动、形
HSK5,五级,大纲词汇,2037,背后,bèihòu,名
HSK5,五级,大纲词汇,2038,背景,bèijǐng,名
HSK5,五级,大纲词汇,2039,被子,bèizi,名
HSK5,五级,大纲词汇,2040,本2,běn,副、代
HSK5,五级,大纲词汇,2041,本地,běndì,名
HSK5,五级,大纲词汇,2042,本领,běnlǐng,名
HSK5,五级,大纲词汇,2043,本人,běnrén,代
HSK5,五级,大纲词汇,2044,本质,běnzhì,名
HSK5,五级,大纲词汇,2045,彼此,bǐcǐ,代
HSK5,五级,大纲词汇,2046,比分,bǐfēn,名
HSK5,五级,大纲词汇,2047,比例,bǐlì,名
HSK5,五级,大纲词汇,2048,比喻,bǐyù,动、名
HSK5,五级,大纲词汇,2049,必,bì,副
HSK5,五级,大纲词汇,2050,毕竟,bìjìng,副
HSK5,五级,大纲词汇,2051,避免,bìmiǎn,动
HSK5,五级,大纲词汇,2052,闭幕式,bìmùshì,名
HSK5,五级,大纲词汇,2053,必然,bìrán,形、名
HSK5,五级,大纲词汇,2054,必需,bìxū,动
HSK5,五级,大纲词汇,2055,必要,bìyào,形
HSK5,五级,大纲词汇,2056,便,biàn,副
HSK5,五级,大纲词汇,2057,变动,biàndòng,动
HSK5,五级,大纲词汇,2058,便利,biànlì,形、动
HSK5,五级,大纲词汇,2059,便利店,biànlìdiàn,名
