level_code,grammar_type,category_type,grammar_detail,content,cases
HSK6,句子成分,补语,程度补语3,动词/形容词+透+了,"我恨透了那些不诚信的商家。
大雨把他身上的衣服全都淋透了。"
HSK6,句子的类型,复句,并列复句,一时……一时……,"最近产品价格不太稳定，一时上升一时下降。
这段时间天气变化快，一时冷一时热。"
HSK6,句子的类型,复句,条件复句,凡是……，都……,"凡是有机会，他都会积极争取。
凡是错误的行为，我们都应该纠正。"
HSK6,句子的类型,复句,条件复句,除非……，否则/不然……,"除非他承认错误并向我道歉，否则我不会原谅他。
除非你说清楚是什么事情，不然我不可能同意帮忙。"
HSK6,句子的类型,复句,条件复句,除非……，才……,"除非你亲自邀请，他才有可能同意参加。
除非是紧急情况，我才会向他求助。"
HSK6,句子的类型,复句,目的复句,……，以便……,"请留下您的联系方式，以便日后联系。
当地政府计划调整地铁的发车时间，以便更多的乘客能够乘坐公共交通。"
HSK6,句子的类型,复句,让步复句,就算……，也……,"就算再累，我也要坚持完成任务。
就算他做错了，你也要注意教育方法。"
HSK6,句子的类型,复句,转折复句,虽……，但/可/却/也……,"比赛虽未取得胜利，但我们收获了宝贵的经验。
这道题虽有难度，可做出来的同学不在少数。
文章虽短，读后却使人充满力量。
她心里虽不喜欢，也坚持来上班了。"
HSK6,句子的类型,复句,选择复句,要么……，要么……,"我平常要么点外卖，要么自己做，很少去食堂吃。
那家饭馆的菜要么太咸，要么太辣，我都不爱吃。"
HSK6,句子的类型,特殊句型,“把”字句4,主语+把+宾语（施事）+动词+其他成分,"孩子把妈妈气得睡不着觉。
她讲述的故事把大家感动哭了。"
HSK6,句子的类型,特殊句型,“把”字句4,主语（非生物体）+把+宾语+动词+其他成分,"阳光把大地染成了红色。
音乐声把游客都吸引过去了。"
HSK6,固定格式,,,A一+量词，B一+量词,"我们左一句、右一句地安慰，她才终于不哭了。
大家你一言，我一语，很快就商量出了解决的办法。"
HSK6,固定格式,,,X了就X了，（没）有……,"他已经是大人了，走了就走了，有什么好担心的？
东西丢了就丢了，没有什么好可惜的。"
HSK6,固定格式,,,X到Y头上来了,"我把你当作好朋友，没想到你竟然骗到我头上来了。
问题不是我造成的，怎么怪到我头上来了？"
HSK6,固定格式,,,X归X，Y归Y,"打归打，骂归骂，父母永远是最疼你的人。
计划归计划，行动归行动，二者并不完全一样。"
HSK6,固定格式,,,不X不……，一X……,"不学不知道，一学才知道汉字如此有魅力。
这茶不尝不知道，一尝就喜欢上了。"
HSK6,固定格式,,,东一A，西一A,"房间里的衣服东一件，西一件，扔得哪儿都是。
最近他东一本，西一本地看了不少书。"
HSK6,固定格式,,,到……为止,"到目前为止，双方已经达成了初步的合作。
他把产品设计改了很多遍，一直到客户满意为止。"
HSK6,固定格式,,,好你个X,"好你个老张，原来是你在背后说我坏话！
好你个骗子，赶紧把钱还给我，否则我就报警。"
HSK6,固定格式,,,放着X不Y,"你为什么放着自己的车不开，跑去借别人的车？
他放着孩子不管，整天跑出去玩儿。"
HSK6,固定格式,,,早（也）不X，晚（也）不X,"早不来，晚不来，我正要出门你来了。
早也不下雨，晚也不下雨，比赛刚一开始就下起来了。"
HSK6,固定格式,,,看你X的/瞧他X的,"我跟你开玩笑呢！看你吓的！
不就是得了奖学金吗？瞧他得意的！"
HSK6,固定格式,,,看/瞧+把+宾语（施事）+X得,"瞧把他兴奋得，简直像个孩子一样。
看把你笑得，腰都直不起来了。"
HSK6,固定格式,,,这/那也不X，那/这也不Y,"这也不好吃，那也不好吃，你干脆饿着吧。
那也不喜欢，这也不满意，你到底想找什么样的工作？"
HSK6,短语,固定短语,其他,好（不）容易,"我好不容易才获得这次面试机会，一定不会轻易放弃。
假期好不容易可以休息一下，你怎么还要去公司加班？"
HSK6,短语,固定短语,其他,得了,"得了，别再想了，结果不可能改变了。
你这么喜欢这本书，干脆送给你得了。"
HSK6,短语,固定短语,其他,算了,"这些旧衣服扔掉算了，反正也不会再穿了。
雪下得这么大，估计不会有客人来了，干脆早点儿关门算了。"
HSK6,短语,固定短语,其他,那倒（也）是,"假如去那家公司工作能为你提供更多的发展空间，那倒也是个不错的选择。
要是你能从失败中吸取教训，那倒也是件值得高兴的事。"
HSK6,短语,固定短语,四字格,A这A那,"小孩子总是喜欢拉着父母问这问那。
既然决定了就大胆去做吧，不要总是想这想那。"
HSK6,短语,固定短语,四字格,左A右B,"天还没亮，他就醒了，躺在床上左思右想，怎么也睡不着。
她在商场里左挑右选，始终没买到一件满意的衣服。"
HSK6,词类,介词,引出对象,至于,"刚来中国时，我既听不懂也说不清楚，至于写作和阅读，就更不行了。
新产品已经开始生产了，至于销售时间和价格，现在还不能确定。"
HSK6,词类,介词,引出时间、处所,于,"这所学校成立于1950年。
他已于上月离京。"
HSK6,词类,介词,引出目的、原因,因,"因天气原因，运动会延期至周六举行。
他因迟到而错过了这次面试。"
HSK6,词类,介词,表示排除,除,"除特殊情况外，不得随意离开工作岗位。
除申请表以外，申请人还应提交一份个人简历。"
HSK6,词类,代词,人称代词,人家,"这是人家的东西，咱们不能随便拿。
今天多亏了老张来帮忙，我们得好好感谢人家。"
HSK6,词类,副词,否定副词,未必,"她最近工作很忙，未必有时间回老家。
有钱就一定会幸福吗？那也未必。"
HSK6,词类,副词,方式副词,不禁、赶忙、特地、特意、偷偷,"听到这可怕的消息，我的心不禁凉了。
听完她的演讲，大家不禁鼓起掌来。
上课铃一响，学生们就赶忙跑回了教室。
听到有人求助，他赶忙过去帮忙。
回国当天，朋友特地开车把我送到了机场。
为了掌握实际情况，政府特地组织专家团队到当地开展调查。
这些书是我特意请朋友从国外买回来的。
我特意为您准备了一份礼物，请您一定收下。
小女孩偷偷把糖装进了口袋。
他偷偷把那件事告诉了老师。"
HSK6,词类,副词,时间副词,一时、不时、仍旧、依旧、一向,"他一时紧张，忘记要说什么了。
面对眼前的比赛结果，人们一时难以接受。
她不时看看手机，等待着朋友的消息。
隔壁房间不时传来一阵笑声。
实验失败了，但他们没有放弃，仍旧坚持干下去。
他很努力地练习发音，但仍旧说得不太标准。
他们带着孩子又跑了几家医院，但依旧没有得到明确的诊断。
二十多年过去了，她依旧那么美丽动人。
作为老师，她一向严格要求自己的学生。
他一向喜欢跟朋友开玩笑。"
HSK6,词类,副词,程度副词,特、异常、较为,"听说我获得了奖学金，同学们都特羡慕。
相声是一种幽默的艺术，特有意思。
改进后的仪器操作异常便捷。
今年夏天异常炎热。
这本小说较为客观地反映了当时的社会现实。
专家们一致认为这项研究的设计较为合理。"
