level_code,source_level_name,entry_type_name,sort_order,word,pinyin,part_of_speech
HSK7-9,二级（七-九级）,大纲词汇,323,次,cì,量、（形）
HSK7-9,二级（七-九级）,大纲词汇,330,但,dàn,连、（副）
HSK7-9,二级（七-九级）,大纲词汇,376,就,jiù,副、（介）
HSK7-9,三级（七-九级）,大纲词汇,858,挺,tǐng,副、（动）
HSK7-9,三级（四级）（七-九级）,大纲词汇,895,像,xiàng,动、（副）、（名）
HSK7-9,四级（七-九级）,大纲词汇,1033,表,biǎo,名、（动）
HSK7-9,四级（七-九级）,大纲词汇,1179,顿,dùn,量、（动）
HSK7-9,四级（七-九级）,大纲词汇,1367,交,jiāo,动、（名）
HSK7-9,四级（七-九级）,大纲词汇,1647,生2,shēng,形、（副）
HSK7-9,四级（七-九级）,大纲词汇,1743,通,tōng,动、形、（量）
HSK7-9,四级（七-九级）,大纲词汇,1750,痛,tòng,形、（副）
HSK7-9,四级（七-九级）,大纲词汇,1752,图,tú,名、（动）
HSK7-9,四级（七-九级）,大纲词汇,1990,左右,zuǒyòu,名、（动）
HSK7-9,五级（七-九级）,大纲词汇,2080,不然,bùrán,连、（形）
HSK7-9,五级（七-九级）,大纲词汇,2812,派,pài,动、（名、量）
HSK7-9,五级（七-九级）,大纲词汇,2832,品,pǐn,后缀、（动）
HSK7-9,五级（七-九级）,大纲词汇,2837,平,píng,形、（动）
HSK7-9,五级（七-九级）,大纲词汇,2898,权,quán,名、（副）
HSK7-9,五级（七-九级）,大纲词汇,3362,以,yǐ,介、（连）
HSK7-9,六级（七-九级）,大纲词汇,4306,尽,jìn,动、（副）
HSK7-9,六级（七-九级）,大纲词汇,4570,盘,pán,量、（动）
HSK7-9,六级（七-九级）,大纲词汇,5253,则1,zé,连、（助）
HSK7-9,七-九级,大纲词汇,5401,挨,āi,动、介
HSK7-9,七-九级,大纲词汇,5402,挨家挨户,āijiā-āihù,
HSK7-9,七-九级,大纲词汇,5403,哀求,āiqiú,动
HSK7-9,七-九级,大纲词汇,5404,挨,ái,动
HSK7-9,七-九级,大纲词汇,5405,癌,ái,名
HSK7-9,七-九级,大纲词汇,5406,癌症,áizhèng,名
HSK7-9,七-九级,大纲词汇,5407,爱不释手,àibúshìshǒu,
HSK7-9,七-九级,大纲词汇,5408,爱戴,àidài,动
HSK7-9,七-九级,大纲词汇,5409,暧昧,àimèi,形
HSK7-9,七-九级,大纲词汇,5410,爱慕,àimù,动
HSK7-9,七-九级,大纲词汇,5411,碍事,àishì,动、形
HSK7-9,七-九级,大纲词汇,5412,爱惜,àixī,动
HSK7-9,七-九级,大纲词汇,5413,艾滋病,àizībìng,名
HSK7-9,七-九级,大纲词汇,5414,安定,āndìng,形、动
HSK7-9,七-九级,大纲词汇,5415,安抚,ānfǔ,动
HSK7-9,七-九级,大纲词汇,5416,安眠药,ānmiányào,名
HSK7-9,七-九级,大纲词汇,5417,安宁,ānníng,形
HSK7-9,七-九级,大纲词汇,5418,安稳,ānwěn,形
HSK7-9,七-九级,大纲词汇,5419,安详,ānxiáng,形
HSK7-9,七-九级,大纲词汇,5420,安心,ānxīn,形
HSK7-9,七-九级,大纲词汇,5421,安逸,ānyì,形
HSK7-9,七-九级,大纲词汇,5422,安置,ānzhì,动
HSK7-9,七-九级,大纲词汇,5423,暗地里,àndìlǐ,名
HSK7-9,七-九级,大纲词汇,5424,案件,ànjiàn,名
HSK7-9,七-九级,大纲词汇,5425,按理,ànlǐ,副
HSK7-9,七-九级,大纲词汇,5426,按钮,ànniǔ,名
HSK7-9,七-九级,大纲词汇,5427,按说,ànshuō,副
HSK7-9,七-九级,大纲词汇,5428,暗中,ànzhōng,名
HSK7-9,七-九级,大纲词汇,5429,凹,āo,形
HSK7-9,七-九级,大纲词汇,5430,熬,áo,动
HSK7-9,七-九级,大纲词汇,5431,傲,ào,形
HSK7-9,七-九级,大纲词汇,5432,傲慢,àomàn,形
HSK7-9,七-九级,大纲词汇,5433,奥秘,àomì,名
HSK7-9,七-九级,大纲词汇,5434,扒,bā,动
