level_code,hanzi_type,hanzi_type_name,character
HSK7-9,1,认读,丁
HSK7-9,1,认读,丐
HSK7-9,1,认读,丘
HSK7-9,1,认读,丙
HSK7-9,1,认读,丛
HSK7-9,1,认读,丝
HSK7-9,1,认读,丫
HSK7-9,1,认读,丸
HSK7-9,1,认读,丹
HSK7-9,1,认读,乃
HSK7-9,1,认读,乖
HSK7-9,1,认读,乞
HSK7-9,1,认读,乳
HSK7-9,1,认读,亦
HSK7-9,1,认读,亩
HSK7-9,1,认读,亭
HSK7-9,1,认读,仁
HSK7-9,1,认读,仆
HSK7-9,1,认读,仇
HSK7-9,1,认读,仙
HSK7-9,1,认读,仲
HSK7-9,1,认读,伏
HSK7-9,1,认读,伐
HSK7-9,1,认读,伦
HSK7-9,1,认读,伪
HSK7-9,1,认读,伯
HSK7-9,1,认读,伺
HSK7-9,1,认读,佑
HSK7-9,1,认读,佣
HSK7-9,1,认读,侃
HSK7-9,1,认读,侈
HSK7-9,1,认读,侍
HSK7-9,1,认读,侠
HSK7-9,1,认读,侣
HSK7-9,1,认读,侥
HSK7-9,1,认读,侦
HSK7-9,1,认读,侨
HSK7-9,1,认读,侮
HSK7-9,1,认读,侵
HSK7-9,1,认读,俊
HSK7-9,1,认读,俏
HSK7-9,1,认读,俘
HSK7-9,1,认读,俭
HSK7-9,1,认读,俯
HSK7-9,1,认读,倔
HSK7-9,1,认读,倘
HSK7-9,1,认读,倚
HSK7-9,1,认读,倦
HSK7-9,1,认读,债
HSK7-9,1,认读,偏
HSK7-9,1,认读,僚
HSK7-9,1,认读,僧
HSK7-9,1,认读,僵
HSK7-9,1,认读,僻
HSK7-9,1,认读,兀
HSK7-9,1,认读,兆
HSK7-9,1,认读,兑
HSK7-9,1,认读,党
HSK7-9,1,认读,兜
HSK7-9,1,认读,兢
HSK7-9,1,认读,兹
HSK7-9,1,认读,兽
HSK7-9,1,认读,冗
HSK7-9,1,认读,冤
HSK7-9,1,认读,冶
HSK7-9,1,认读,凄
HSK7-9,1,认读,凋
HSK7-9,1,认读,凑
HSK7-9,1,认读,凝
HSK7-9,1,认读,凤
HSK7-9,1,认读,凯
HSK7-9,1,认读,凰
HSK7-9,1,认读,凳
HSK7-9,1,认读,凶
HSK7-9,1,认读,凸
HSK7-9,1,认读,凹
HSK7-9,1,认读,函
HSK7-9,1,认读,凿
HSK7-9,1,认读,刁
HSK7-9,1,认读,刑
HSK7-9,1,认读,刨
HSK7-9,1,认读,剂
HSK7-9,1,认读,剃
HSK7-9,1,认读,削
HSK7-9,1,认读,剔
HSK7-9,1,认读,剖
HSK7-9,1,认读,剥
HSK7-9,1,认读,劈
HSK7-9,1,认读,劫
HSK7-9,1,认读,勃
HSK7-9,1,认读,勋
HSK7-9,1,认读,勒
HSK7-9,1,认读,勘
HSK7-9,1,认读,募
HSK7-9,1,认读,勾
HSK7-9,1,认读,勿
HSK7-9,1,认读,匠
HSK7-9,1,认读,匪
HSK7-9,1,认读,匿
HSK7-9,1,认读,卉
HSK7-9,1,认读,卑
HSK7-9,1,认读,卓
HSK7-9,1,认读,卜
HSK7-9,1,认读,卤
HSK7-9,1,认读,卦
HSK7-9,1,认读,卵
HSK7-9,1,认读,卸
HSK7-9,1,认读,厄
HSK7-9,1,认读,叛
HSK7-9,1,认读,叠
HSK7-9,1,认读,叨
HSK7-9,1,认读,叭
HSK7-9,1,认读,叮
HSK7-9,1,认读,叹
HSK7-9,1,认读,叼
HSK7-9,1,认读,吁
HSK7-9,1,认读,吏
HSK7-9,1,认读,君
HSK7-9,1,认读,吝
HSK7-9,1,认读,吟
HSK7-9,1,认读,吩
HSK7-9,1,认读,吭
HSK7-9,1,认读,吻
HSK7-9,1,认读,吼
HSK7-9,1,认读,呐
HSK7-9,1,认读,呕
HSK7-9,1,认读,呛
HSK7-9,1,认读,呜
HSK7-9,1,认读,呵
HSK7-9,1,认读,呻
