level_code,grammar_type,category_type,grammar_detail,content,cases
HSK7-9,句子的类型,多重复句,,多重假设复句,"如果你足够努力，而且有一定的天赋，再加上一点点好运气，就一定能通过这次考试。
要是房子没有其他问题，只是因为租金高而迟迟租不出去，你就要考虑降一部分租金试试了。"
HSK7-9,句子的类型,多重复句,,多重因果复句,"由于奥运会足球比赛一开始只面向准业余选手，所以它的水平不能与世界杯相比。于是在1930年乌拉圭举办第一届世界杯后，奥运会足球比赛就退居到次要位置。
他非常热衷于人体研究，因为在研究中不但可以获得新知识，而且还能对自己的身体状况有更深入的了解。"
HSK7-9,句子的类型,多重复句,,多重并列复句,"我8岁开始学拉二胡，现已达到第七级了；11岁开始学弹钢琴，现已通过第八级的考试。
我在孩子的成长过程中，给予他充分的自由。我不逼他学奥数，除非他自己愿意学；不逼他音乐考级，只求培养些许乐感；不逼他学外语，只为他提供开口讲外语的机会。"
HSK7-9,句子的类型,多重复句,,多重转折复句,"今年虽然因为气温低，西瓜上市的时间推迟了，但总产量同比增长了近二成。
我清楚地记得那天她戴的是一枚钻戒，虽然她后来坚决否认，说她戴的只不过是枚普通金戒指，而且她发给我的照片也证实了这一点，可我还是不愿意承认我记错了。"
HSK7-9,句子的类型,多重复句,,多重递进复句,"他不但会吹笛子，而且吹得还挺好，甚至还会做笛子呢！
这个项目不如交给小张负责，这样既能考验小张的能力，又能满足董事长的要求，而且还可以不得罪总经理。"
HSK7-9,句子的类型,特殊句型,比较句5,A+形容词+于/过+B,"新型钛合金门窗不仅美观大方，而且在使用寿命方面也远远优于铁窗和铝合金门窗。
对她这种锦衣玉食的富家小姐而言，面子往往胜于一切。
我可不相信这世界上还有厨艺高过您的人。
你争气点，强过你的两个哥哥，不要让那些没安好心的人笑话了。"
HSK7-9,句子的类型,简单复句,假设复句,假若/假使……，……,"假若你不愿待在家里，你可以到湖边散散步，或在公园喝喝茶、下下棋。
我从来都不会后悔之前的决定，假使一切再从头来，结果也还是一样的。"
HSK7-9,句子的类型,简单复句,假设复句,幸亏/幸好……，不然/否则……,"幸好你今天中午替我打了饭，不然我就只有挨饿的份了。
幸亏老张告诉了我哥哥的电话号码，否则我就真没法跟哥哥联系了。"
HSK7-9,句子的类型,简单复句,假设复句,纵然/纵使……，也……,"纵然无人为他加油喝彩，他最终也还是夺取了本站比赛的冠军。
纵使出于好心，你也要注意沟通的方式，说话不要那么直接。"
HSK7-9,句子的类型,简单复句,因果复句,……，以至（于）……,"自从这种靶向药物问世之后，它的治疗癌症的功能被推崇到了极点，以至它在黑市上的价格被炒到了百万以上。
当下的素质教育实践呈现出明显的形式化特征，以至于一些学校将活动课的数量作为衡量素质教育实施的指标，反而加重了学生负担。"
HSK7-9,句子的类型,简单复句,因果复句,（因）……，故……,"富有智慧者看得透，故不争；胸襟豁达者想得开，故不斗。
肺肉瘤样癌是一种罕见的肺癌，因其症状、体征缺乏特异性，常需术后活检才能确诊，故明确诊断较难。"
HSK7-9,句子的类型,简单复句,并列复句,一则……，二则……，三则……,"这种药品一则价格高昂，二则产量较少，三则副作用明显，因此难以推广。
排练时需要的演员比实际演出的时候要多一些，一则考察演员的表现，不合适的话就换掉；二则可以相互提出意见，完善表演；三则不上场的演员也可以做一些剧务工作。"
HSK7-9,句子的类型,简单复句,并列复句,一来……，二来……，三来……,"他虽然在犹豫，但现在还不会和她说分手，一来于心不忍，二来谈了这么多年多少也习惯了，三来怕别人议论。
他对王经理有相当的敬意，一来因为是自己的顶头上司，二来因为经理对于相关业务确实是烂熟于心，三来因为经理虽沉默寡言但又善于处理人际关系。"
HSK7-9,句子的类型,简单复句,条件复句,凡……（者），均（可）……,"此次比赛设有一、二、三等奖及优秀奖。凡获奖者均颁发荣誉证书。
凡来我市进行技术合作的单位，均可根据自身的资金、设备、专长等条件，进行多领域、多层次的合作。"
HSK7-9,句子的类型,简单复句,条件复句,无论……与否，都……,"无论你同意与否，他都会按自己的计划去处理这件事的。
所有的工作人员，无论工作成绩优异与否，都是能领到高额奖金的。"
