level_code,tree_kind,depth,parent_content,content,sort_order
HSK7-9,task,1,,交流和讨论个人信息和生活观念,1
HSK7-9,task,1,,交流和讨论家庭情况和家庭观念,2
HSK7-9,task,1,,交流和讨论社区环境和社区文化,3
HSK7-9,task,1,,交流和讨论饮食知识和烹饪技艺,4
HSK7-9,task,1,,交流和讨论地理知识和旅游体验,5
HSK7-9,task,1,,交流和讨论健康和医疗话题,6
HSK7-9,task,1,,交流和讨论体育运动和体育精神,7
HSK7-9,task,1,,交流和讨论中国国情与文化,8
HSK7-9,task,1,,理解相关法规和维护个人合法权益,9
HSK7-9,task,1,,欣赏和评论文艺作品,10
HSK7-9,task,1,,分析和评论时事新闻和传媒出版问题,11
HSK7-9,task,1,,分析和评论经贸问题,12
HSK7-9,task,1,,分析和评论科技问题,13
HSK7-9,task,1,,分析和评论人类社会发展中的国际性热点问题,14
HSK7-9,task,1,,了解和交流机构和行业发展概况,15
HSK7-9,task,1,,开展业务合作和业务往来,16
HSK7-9,task,1,,了解法律法规和处理公共关系,17
HSK7-9,task,1,,了解人力资源政策和处理人事关系,18
HSK7-9,task,1,,明确工作计划和任务职责,19
HSK7-9,task,1,,与服务对象进行沟通和交流,20
HSK7-9,task,1,,开展市场调研和分析,21
HSK7-9,task,1,,理解和起草各类文件和文案,22
HSK7-9,task,1,,了解和讨论学校各类制度,23
HSK7-9,task,1,,开展和完成通识性课程及基础性专业课程学习,24
HSK7-9,task,1,,获取和利用学习资源,25
HSK7-9,task,1,,了解实验要求和规定并完成实验报告,26
HSK7-9,task,1,,开展学术研究活动,27
HSK7-9,task,1,,参与学术交流和讨论,28
HSK7-9,task,1,,了解专业实习要求和规定并完成实习报告,29
HSK7-9,task,1,,参与学生社团活动和社会实践活动,30
HSK7-9,topic,1,,个体与社会,1
HSK7-9,topic,1,,国家与社会,2
HSK7-9,topic,1,,文化与传统,3
HSK7-9,topic,1,,自然与环境,4
HSK7-9,topic,1,,科学技术,5
HSK7-9,topic,2,国家与社会,人口与发展,1
HSK7-9,topic,2,个体与社会,人际交往,1
HSK7-9,topic,2,科学技术,信息科学技术,1
HSK7-9,topic,2,自然与环境,宇宙环境,1
HSK7-9,topic,2,文化与传统,文学艺术,1
HSK7-9,topic,2,文化与传统,历史,2
HSK7-9,topic,2,自然与环境,地质环境,2
HSK7-9,topic,2,个体与社会,形象服饰,2
HSK7-9,topic,2,国家与社会,教育发展,2
HSK7-9,topic,2,科学技术,航空航天科学技术,2
HSK7-9,topic,2,文化与传统,哲学思想,3
HSK7-9,topic,2,自然与环境,大气环境,3
HSK7-9,topic,2,国家与社会,媒介与传播,3
HSK7-9,topic,2,科学技术,生物科学技术,3
HSK7-9,topic,2,个体与社会,饮食餐饮,3
HSK7-9,topic,2,文化与传统,习俗礼俗,4
HSK7-9,topic,2,国家与社会,健康与医疗,4
HSK7-9,topic,2,科学技术,其他新兴科学技术,4
HSK7-9,topic,2,个体与社会,建筑与社区,4
HSK7-9,topic,2,自然与环境,水环境,4
HSK7-9,topic,2,国家与社会,交通与运输,5
HSK7-9,topic,2,个体与社会,休闲娱乐,5
HSK7-9,topic,2,自然与环境,土地环境,5
HSK7-9,topic,2,文化与传统,文化遗产,5
HSK7-9,topic,2,个体与社会,学业职业,6
HSK7-9,topic,2,自然与环境,生物环境,6
HSK7-9,topic,2,国家与社会,经济与生产,6
HSK7-9,topic,2,国家与社会,法制与治安,7
HSK7-9,topic,2,国家与社会,社会公共管理,8
HSK7-9,grammar,1,,语素,1
HSK7-9,grammar,1,,词类,2
HSK7-9,grammar,1,,短语,3
HSK7-9,grammar,1,,固定格式,4
HSK7-9,grammar,1,,句子的类型,5
HSK7-9,grammar,1,,语段（句群）,6
HSK7-9,grammar,2,词类,动词,1
HSK7-9,grammar,2,短语,固定短语,1
HSK7-9,grammar,2,句子的类型,特殊句型,1
HSK7-9,grammar,2,语素,类前缀,1
HSK7-9,grammar,2,词类,代词,2
HSK7-9,grammar,2,句子的类型,简单复句,2
HSK7-9,grammar,2,语素,类后缀,2
HSK7-9,grammar,2,句子的类型,多重复句,3
HSK7-9,grammar,2,词类,量词,3
HSK7-9,grammar,2,词类,副词,4
HSK7-9,grammar,2,词类,介词,5
HSK7-9,grammar,2,词类,连词,6
HSK7-9,grammar,2,词类,助词,7
HSK7-9,grammar,3,代词,人称代词,1
HSK7-9,grammar,3,量词,名量词,1
HSK7-9,grammar,3,固定短语,四字格,1
HSK7-9,grammar,3,简单复句,并列复句,1
HSK7-9,grammar,3,介词,引出时间、处所,1
HSK7-9,grammar,3,特殊句型,比较句5,1
HSK7-9,grammar,3,副词,程度副词,1
HSK7-9,grammar,3,助词,语气助词,1
HSK7-9,grammar,3,连词,连接分句或句子,1
HSK7-9,grammar,3,固定短语,其他（话语标记）,2
HSK7-9,grammar,3,量词,动量词,2
HSK7-9,grammar,3,介词,引出对象,2
HSK7-9,grammar,3,代词,指示代词,2
HSK7-9,grammar,3,副词,范围副词,2
HSK7-9,grammar,3,简单复句,解说复句,2
HSK7-9,grammar,3,连词,连接词或词组以及分句或句子,2
HSK7-9,grammar,3,量词,复合量词,3
HSK7-9,grammar,3,介词,引出凭借、依据,3
HSK7-9,grammar,3,副词,时间副词,3
HSK7-9,grammar,3,代词,疑问代词,3
HSK7-9,grammar,3,简单复句,选择复句,3
HSK7-9,grammar,3,代词,数量代词,4
HSK7-9,grammar,3,简单复句,转折复句,4
HSK7-9,grammar,3,副词,频率副词,4
HSK7-9,grammar,3,副词,方式副词,5
HSK7-9,grammar,3,简单复句,条件复句,5
HSK7-9,grammar,3,简单复句,假设复句,6
HSK7-9,grammar,3,副词,否定副词,6
HSK7-9,grammar,3,简单复句,因果复句,7
HSK7-9,grammar,3,副词,语气副词,7
HSK7-9,grammar,3,副词,判断副词,8
HSK7-9,grammar,3,简单复句,递进复句,8
HSK7-9,grammar,3,简单复句,目的复句,9
HSK7-9,grammar,3,简单复句,紧缩复句,10
